Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
RPG 3,USA,Retail,Standard,PC,2009,11,33,NonCasual,3407
RPG 3,USA,Retail,Standard,PC,2009,11,34,NonCasual,3175
RPG 3,USA,Retail,Standard,PC,2009,11,35,NonCasual,2928
RPG 3,USA,Retail,Standard,PC,2009,11,36,NonCasual,2575
RPG 3,USA,Retail,Standard,PC,2009,11,37,NonCasual,1870
RPG 3,USA,Retail,Standard,PC,2009,11,38,NonCasual,22
RPG 3,USA,Retail,Standard,PC,2009,11,39,NonCasual,4
RPG 3,USA,Retail,Standard,PC,2009,11,40,NonCasual,2
RPG 3,CAN,Digital,Deluxe,PC,2009,11,0,NonCasual,1164
RPG 3,CAN,Digital,Deluxe,PC,2009,11,1,NonCasual,1164
RPG 3,CAN,Digital,Deluxe,PC,2009,11,2,NonCasual,593
RPG 3,CAN,Digital,Gold,PS3,2009,10,0,NonCasual,163
RPG 3,CAN,Digital,Gold,PS3,2009,10,1,NonCasual,163
RPG 3,CAN,Digital,Gold,PS3,2009,10,2,NonCasual,96
